lsms_id,country,cluster_id,year,lat,lon,asset_index,n
et_03012000105_2015,et,03012000105,2015,12.9196896354,37.032969423,-0.4593093551934444,5
et_03020100703_2011,et,03020100703,2011,12.3562967332,38.4524416164,-2.4699195084619063,4
et_03020100703_2015,et,03020100703,2015,12.3562967332,38.4524416164,-2.5948108609188485,4
et_03020202508_2011,et,03020202508,2011,12.0498233904,37.8003237608,-2.2615942652219347,5
et_03020202508_2015,et,03020202508,2015,12.0498233904,37.8003237608,-1.7922938488497264,5
et_03020400906_2011,et,03020400906,2011,11.8176445144,38.1602257763,-2.390933765875147,4
et_03020400906_2015,et,03020400906,2015,11.8176445144,38.1602257763,-2.3906507537719297,4
et_03020501907_2011,et,03020501907,2011,11.6454398842,38.4188571016,-2.27425269074828,3
et_03020501907_2015,et,03020501907,2015,11.6454398842,38.4188571016,-1.831071013816813,3
et_03020703703_2011,et,03020703703,2011,11.2385732357,38.311340877,-2.5072381390256147,3
et_03020703703_2015,et,03020703703,2015,11.2385732357,38.311340877,-2.2433253751476876,3
et_03020900708_2011,et,03020900708,2011,11.6890721348,37.6074550557,-2.3486427916083525,3
et_03020900708_2015,et,03020900708,2015,11.6890721348,37.6074550557,-2.4634517780789977,3
et_03030200108_2011,et,03030200108,2011,12.0062359062,39.6076476069,-0.24311627016579912,4
et_03030200108_2015,et,03030200108,2015,12.0062359062,39.6076476069,-0.5800801709121498,4
et_03030202104_2011,et,03030202104,2011,11.991803995,39.7800216474,-1.3742055143038825,5
et_03030202104_2015,et,03030202104,2015,11.991803995,39.7800216474,-1.7750307675564794,5
et_03030501101_2011,et,03030501101,2011,11.6549185473,39.0357534985,-1.4914088109866703,5
et_03030501101_2015,et,03030501101,2015,11.6549185473,39.0357534985,-2.360348244130999,5
et_03030701002_2011,et,03030701002,2011,11.9048460332,39.4494717129,-1.2211925530181287,5
et_03030701002_2015,et,03030701002,2015,11.9048460332,39.4494717129,-0.10908224692995569,5
et_03040901203_2011,et,03040901203,2011,11.0874300942,39.7843913054,-1.249726811142291,4
et_03040901203_2015,et,03040901203,2015,11.0874300942,39.7843913054,-0.4046808446847756,4
et_03041200105_2011,et,03041200105,2011,10.7561984007,38.7696742804,0.1194477007194678,3
et_03041200105_2015,et,03041200105,2015,10.7561984007,38.7696742804,0.6281429088146853,3
et_03041402101_2011,et,03041402101,2011,10.5685626516,39.2356643786,-2.3424410638518003,5
et_03041402101_2015,et,03041402101,2015,10.5685626516,39.2356643786,-1.8855688202077834,5
et_03041600204_2011,et,03041600204,2011,10.5792188385,38.6062533111,-2.2682668265590022,5
et_03041600204_2015,et,03041600204,2015,10.5792188385,38.6062533111,-2.307804610995059,5
et_03050101504_2011,et,03050101504,2011,10.1771510236,38.9727796823,-1.7001966848298324,6
et_03050101504_2015,et,03050101504,2015,10.1771510236,38.9727796823,-1.271488907930807,6
et_03050400305_2011,et,03050400305,2011,10.0245110384,39.2131652933,-2.2453326885028466,4
et_03050400305_2015,et,03050400305,2015,10.0245110384,39.2131652933,-1.8999214076028081,4
et_03050900104_2011,et,03050900104,2011,10.1249269842,39.6713085476,-0.45083767439540284,4
et_03050900104_2015,et,03050900104,2015,10.1249269842,39.6713085476,0.3014081649177137,4
et_03051100307_2011,et,03051100307,2011,9.89048905403,39.4845296,-0.8998452118062295,4
et_03051100307_2015,et,03051100307,2015,9.89048905403,39.4845296,-0.38210246228618155,4
et_03051300702_2011,et,03051300702,2011,9.55408199803,39.5793387065,-1.9043798618146748,4
et_03051300702_2015,et,03051300702,2015,9.55408199803,39.5793387065,-2.0047121950683504,4
et_03052100808_2011,et,03052100808,2011,10.1255685035,39.3173063282,-2.379076197574793,7
et_03052100808_2015,et,03052100808,2015,10.1255685035,39.3173063282,-2.056073861553371,7
et_03060202603_2011,et,03060202603,2011,10.9070459818,38.0365174999,-2.2469081375161992,9
et_03060202603_2015,et,03060202603,2015,10.9070459818,38.0365174999,-1.973156788517799,9
et_03060402001_2011,et,03060402001,2011,10.9551945389,38.2846965084,-1.8797937047570032,3
et_03060402001_2015,et,03060402001,2015,10.9551945389,38.2846965084,-1.8446347248271415,3
et_03060901807_2011,et,03060901807,2011,10.4216173585,37.5765488785,-0.9045821959435472,5
et_03060901807_2015,et,03060901807,2015,10.4216173585,37.5765488785,-0.27247552229955574,5
et_03061102207_2011,et,03061102207,2011,9.99190626942,37.6925527139,-2.4853449585523064,6
et_03061102207_2015,et,03061102207,2015,9.99190626942,37.6925527139,-2.259089593396018,6
et_03061400105_2011,et,03061400105,2011,10.4376029071,38.3184384011,-0.6824377985178454,6
et_03061400105_2015,et,03061400105,2015,10.4376029071,38.3184384011,-0.2414411570384431,6
et_03061601207_2011,et,03061601207,2011,10.5794319268,37.798498412,-2.4634517780789977,9
et_03061601207_2015,et,03061601207,2015,10.5794319268,37.798498412,-1.9583072748841486,9
et_03070101406_2011,et,03070101406,2011,11.6514708203,37.1032812474,-2.500982944604669,7
et_03070101406_2015,et,03070101406,2015,11.6514708203,37.1032812474,-2.339160389706316,7
et_03070300105_2011,et,03070300105,2011,11.3744751246,37.4523245003,-2.577258581593106,6
et_03070300105_2015,et,03070300105,2015,11.3744751246,37.4523245003,-2.312447730134469,6
et_03070401302_2011,et,03070401302,2011,11.3962743181,37.042616257,-1.646197064428966,4
et_03070401302_2015,et,03070401302,2015,11.3962743181,37.042616257,-1.2959980362750931,4
et_03070500105_2011,et,03070500105,2011,10.9686100623,37.1784774038,-0.6066945135276989,4
et_03070500105_2015,et,03070500105,2015,10.9686100623,37.1784774038,0.29520791193643336,4
et_03070502405_2011,et,03070502405,2011,10.7927763733,37.144541492,-2.3182568073226695,6
et_03070502405_2015,et,03070502405,2015,10.7927763733,37.144541492,-1.8814505555331158,6
et_03070801402_2011,et,03070801402,2011,10.5892768292,37.4615982338,-2.188622869357667,5
et_03070801402_2015,et,03070801402,2015,10.5892768292,37.4615982338,-1.81785300660948,5
et_03080201503_2011,et,03080201503,2011,12.7580639926,38.9938699775,-2.476256402146645,3
